original_pundex,topic_id,question_id,question_text,answer_type,correct_answer,alternative_answer_1
2,1,1578,"Fill in the missing number: __, 12, 13",text_input,11,
2,1,1579,Start at 16 and count forwards. What is the next number?,text_input,17,
2,1,1580,Count backwards from 18. What number is next?,text_input,17,
2,1,1581,"What number is missing? 19, __, 17",text_input,18,
2,1,1582,What is one more than 11?,text_input,12,
2,1,1583,What is one less than 15?,text_input,14,
2,1,1584,Start at 7 and count forwards. What number comes after 8?,text_input,9,
2,1,1585,Count backwards from 9. What is the next number?,text_input,8,
3,1,1586,Start at 25 and count forwards. What number comes next?,text_input,26,
3,1,1587,Count backwards from 43. What is the number before it?,text_input,42,
3,1,1588,"What number is missing? 33, 34, __, 36",text_input,35,
3,1,1589,What is one more than 49?,text_input,50,
3,1,1590,What is one less than 30?,text_input,29,
3,1,1591,"Fill in the missing number: 48, __, 46, 45",text_input,47,
3,1,1592,Start at 29 and count on one. What number are you on?,text_input,30,
3,1,1593,Count backwards from 38. What is the next number?,text_input,37,
3,1,1594,"What are the missing numbers? 21, 22, __, __, 25",text_input,"23, 24",23 24
3,1,1595,Count forwards from 40. What is the number after 41?,text_input,42,
3,1,1596,What number is just before 50?,text_input,49,
3,1,1597,Start at 31 and count back. What is the next number?,text_input,30,
3,1,1598,What is one more than 22?,text_input,23,
3,1,1599,What is one less than 41?,text_input,40,
3,1,1600,"Fill in the missing number: 18, 19, __, 21",text_input,20,
3,1,1601,What number comes between 37 and 39?,text_input,38,
3,1,1602,Count backwards from 24. What number comes next?,text_input,23,
3,1,1603,"Fill in the missing number: 49, __, 47",text_input,48,
3,1,1604,What is one more than 39?,text_input,40,
3,1,1605,Start at 45 and count on one. What number is it?,text_input,46,
3,1,1606,"What number is missing? 26, 27, __",text_input,28,
3,1,1607,What are the two numbers after 35?,text_input,"36, 37",36 37
3,1,1608,What are the two numbers before 21?,text_input,"20, 19",20 19
3,1,1609,Count backwards from 15. What number do you say after 14?,text_input,13,
3,1,1610,Start at 39 and count forwards. What is the next number?,text_input,40,
4,1,1611,Start at 78 and count forwards 2 numbers. What number do you land on?,text_input,80,
4,1,1612,What number is 1 less than 91?,text_input,90,
4,1,1613,"Fill in the missing number: 55, 56, __, 58",text_input,57,
4,1,1614,Count backwards 3 numbers from 100. What number are you on?,text_input,97,
4,1,1615,What is one more than 99?,text_input,100,
4,1,1616,"What number is missing from this sequence: 88, 89, __, 91, 92",text_input,90,
4,1,1617,Start on step 62 and go backwards one step. What step are you on?,text_input,61,
4,1,1618,What is the number just before 80?,text_input,79,
4,1,1619,Count forwards from 96. What are the next two numbers?,text_input,"97, 98",97 98
4,1,1620,"If you have 70 items and add one more, how many do you have?",text_input,71,
4,1,1621,Count backwards from 61. What number comes next?,text_input,60,
4,1,1622,"What number is missing? 75, __, 73, 72",text_input,74,
4,1,1623,Start at 59 and count on one. What is the number?,text_input,60,
4,1,1624,What is 1 more than 89?,text_input,90,
4,1,1625,What is 1 less than 100?,text_input,99,
4,1,1626,Count forwards from 85 for three steps. What number do you reach?,text_input,88,
4,1,1627,"Fill in the missing number: __, 99, 100",text_input,98,
4,1,1628,You are on square 51. You move back one square. What square are you on?,text_input,50,
4,1,1629,What number is between 66 and 68?,text_input,67,
4,1,1630,Start at 90 and count back 2 numbers. What number do you land on?,text_input,88,
4,1,1631,What is the number just after 79?,text_input,80,
4,1,1632,What are the two numbers before 60?,text_input,"59, 58",59 58
4,1,1633,Start at 80 and count backwards. What is the next number?,text_input,79,
4,1,1634,Count forwards from 52. What number comes after 53?,text_input,54,
4,1,1635,"If a page number is 98, what is the next page number?",text_input,99,
1,2,1636,Start at 0 and count forwards in steps of 2. What is the next number after 2?,text_input,4,Four
1,2,1637,Count in 2s from 0. What number comes after 6?,text_input,8,Eight
1,2,1638,Start at 0 and count on in 2s. What is the number after 8?,text_input,10,Ten
1,2,1639,"Count forwards in 2s from 0. What is the next number in the sequence: 12, 14, __?",text_input,16,
1,2,1640,Start at 0 and count in 2s. What number comes after 18?,text_input,20,
1,2,1641,Start at 0 and count forwards in steps of 5. What is the next number after 0?,text_input,5,Five
1,2,1642,Count in 5s from 0. What number comes after 5?,text_input,10,Ten
1,2,1643,Start at 0 and count on in 5s. What is the number after 10?,text_input,15,
1,2,1644,"Count forwards in 5s from 0. What is the next number in the sequence: 15, __?",text_input,20,
1,2,1645,"If you count in 5s from 0, what is the second number you say?",text_input,10,Ten
1,2,1646,Start at 0 and count forwards in steps of 10. What is the next number after 10?,text_input,20,
1,2,1647,Count in 10s from 0. What number comes after 30?,text_input,40,
1,2,1648,Start at 0 and count on in 10s. What number comes after 50?,text_input,60,
1,2,1649,"Count forwards in 10s from 0. What is the next number in the sequence: 80, 90, __?",text_input,100,
1,2,1650,"If you count in 10s from 0, what is the fourth number you say?",text_input,40,
1,2,1651,What number is 2 more than 4?,text_input,6,Six
1,2,1652,What number is 5 more than 0?,text_input,5,Five
1,2,1653,What number is 10 more than 70?,text_input,80,
1,2,1654,Count in 2s from 0. What comes after 0?,text_input,2,Two
1,2,1655,Count in 5s from 0. What is the third number?,text_input,15,
1,2,1656,Count in 10s from 0. What number comes after 20?,text_input,30,
1,2,1657,"Count in 2s: 16, 18, __?",text_input,20,
1,2,1658,"Count in 5s: 10, __, 20?",text_input,15,
1,2,1659,"Count in 10s: 60, __, 80?",text_input,70,
1,2,1660,Count in 2s from 0. Is 4 in the sequence?,text_input,Yes,yes
2,2,1661,"Count forwards in 2s from 0. What number is missing? 26, 28, __, 32",text_input,30,
2,2,1662,Count backwards in 2s from 50. What number comes before 48?,text_input,46,
2,2,1663,"Count forwards in 5s from 0. Fill in the blank: 35, 40, __, 50",text_input,45,
2,2,1664,Count backwards in 5s from 30. What is the next number?,text_input,25,
2,2,1665,Start at 40 and count forwards in 10s. What is the number after 60?,text_input,70,
2,2,1666,Start at 100 and count backwards in 10s. What number comes before 90?,text_input,80,
2,2,1667,"What number is missing in this sequence? 15, 20, __, 30",text_input,25,
2,2,1668,"Count backwards in 2s. What number is missing? 24, 22, __, 18",text_input,20,
2,2,1669,Start at 20 and count on in 10s. What is the next number?,text_input,30,
2,2,1670,Count backwards in 10s from 80. What number do you say next?,text_input,70,
2,2,1671,"Fill in the blank: 40, __, 44, 46. The rule is count in 2s.",text_input,42,
2,2,1672,"Count forwards in 5s. What number is missing? 0, 5, 10, __, 20",text_input,15,
2,2,1673,Start at 30 and count back in 5s. What number comes after 25?,text_input,20,
2,2,1674,Start at 50 and count on in 10s. What number comes after 70?,text_input,80,
2,2,1675,Count backwards in 2s from 36. What is the next number?,text_input,34,
2,2,1676,Count forwards in 2s from 48. What number is next?,text_input,50,
2,2,1677,Count backwards in 5s from 45. What is the next number?,text_input,40,
2,2,1678,Count forwards in 5s from 25. What is the next number?,text_input,30,
2,2,1679,Start at 90 and count backwards in 10s. What is the next number?,text_input,80,
2,2,1680,"What is missing? 60, 70, __, 90",text_input,80,
2,2,1681,Count in 2s from 30. What is the third number you say?,text_input,36,
2,2,1682,Count back in 5s from 25. What is the third number you say?,text_input,10,
2,2,1683,Count in 10s from 10. What is the fifth number you say?,text_input,60,
2,2,1684,Is 21 in the sequence of counting in 2s from 0?,text_input,No,no
2,2,1685,Is 35 in the sequence of counting in 5s from 0?,text_input,Yes,yes
3,2,1686,Count forwards in 3s from 0. What number comes after 9?,text_input,12,
3,2,1687,Count backwards in 3s from 30. What number comes before 27?,text_input,24,
3,2,1688,Start at 27 and count forwards in 10s. What is the next number?,text_input,37,
3,2,1689,Start at 84 and count backwards in 10s. What is the next number?,text_input,74,
3,2,1690,"There are pairs of socks on a line. If you count them in 2s and reach 62, what is the next number?",text_input,64,
3,2,1691,"Fill in the missing number in this sequence of 3s: 18, 21, __, 27",text_input,24,
3,2,1692,Count backwards in 5s from 95. What is the next number?,text_input,90,
3,2,1693,Start at 41 and count on in 10s. What is the number after 51?,text_input,61,
3,2,1694,Count backwards in 10s from 98. What is the next number?,text_input,88,
3,2,1695,A plant grows 3cm each day. It starts at 0cm. How tall is it on the 4th day?,text_input,12,12cm
3,2,1696,"What number is missing? 60, 57, __, 51",text_input,54,
3,2,1697,Start at 9 and count on in 3s. What is the next number?,text_input,12,
3,2,1698,Count backwards in 2s from 70. What is the next number?,text_input,68,
3,2,1699,Count forwards in 5s from 80. What is the next number?,text_input,85,
3,2,1700,Start at 91 and count back in 10s. What is the next number?,text_input,81,
3,2,1701,Count in 3s from 0. What is the fifth number?,text_input,15,
3,2,1702,Count backwards in 3s from 15. What is the next number?,text_input,12,
3,2,1703,Start at 3 and count on in 10s. What is the third number you say?,text_input,33,
3,2,1704,Count in 2s from 90. What is the fourth number you say?,text_input,98,
3,2,1705,Count back in 5s from 100. What is the second number you say?,text_input,90,
3,2,1706,Is 43 in the sequence of counting in 10s from 3?,text_input,Yes,yes
3,2,1707,Is 22 in the sequence of counting in 3s from 0?,text_input,No,no
3,2,1708,Start at 7 and count forwards in 10s. What is the next number?,text_input,17,
3,2,1709,Count forwards in 3s from 21. What is the next number?,text_input,24,
3,2,1710,Count backwards in 5s from 65. What is the next number?,text_input,60,
4,2,1711,I start at 5 and count forwards in 3s. What is the 4th number I will say?,text_input,17,
4,2,1712,A sequence counts backwards in 10s. Two of the numbers are 56 and 46. What number came before 56?,text_input,66,
4,2,1713,"Identify the error in this sequence of 2s: 82, 84, 85, 88, 90.",text_input,85,
4,2,1714,"If I count backwards in 5s from 43, what is the next number I will say?",text_input,38,
4,2,1715,Start at 98 and count backwards in 3s. What is the next number?,text_input,95,
4,2,1716,A sequence starts at 11 and goes up in 5s. What is the third number in the sequence?,text_input,21,
4,2,1717,"What number is missing? 81, 71, __, 51, 41",text_input,61,
4,2,1718,Count forwards in 3s from 89. What is the next number?,text_input,92,
4,2,1719,"Correct the error in this sequence of 5s: 60, 65, 70, 74, 80.",text_input,74,
4,2,1720,You have 7 sweets. You get 3 more every hour. How many sweets will you have in 2 hours?,text_input,13,13 sweets
4,2,1721,Start at 100 and count backwards in 2s. What is the third number you say?,text_input,94,
4,2,1722,A spider has 8 legs. A box has 3 spiders. How many legs are there?,text_input,24,24 legs
4,2,1723,Count on in 10s from 4. What is the fifth number you say?,text_input,54,
4,2,1724,"What is the next number in the pattern? 97, 95, 93, __",text_input,91,
4,2,1725,Start at 12 and count forwards in 5s. What is the fourth number in this sequence?,text_input,27,
4,2,1726,"Identify the mistake in this sequence of 3s: 30, 33, 36, 40, 42.",text_input,40,
4,2,1727,I am counting backwards in 10s from 88. What is the third number I say?,text_input,58,
4,2,1728,Count forwards in 2s from 91. What is the next number?,text_input,93,
4,2,1729,Count backwards in 3s from 91. What is the next number?,text_input,88,
4,2,1730,I have 10p. I save 5p every day. How much will I have after 3 days?,text_input,25p,25
4,2,1731,"What is the missing number? 11, 21, __, 41, 51.",text_input,31,
4,2,1732,"If I count in 5s starting from 2, what is the third number I say?",text_input,12,
4,2,1733,"Find the error in this sequence of 10s: 93, 83, 73, 64, 53.",text_input,64,
4,2,1734,Count backwards in 2s from 101. What is the next number?,text_input,99,
4,2,1735,Start at 6 and count on in 3s. What is the fifth number in the sequence?,text_input,21,
1,3,1736,Count forwards from 0 in multiples of 4. What is the next number after 4?,text_input,8,
1,3,1737,Start at 0 and count in 4s. What number comes after 12?,text_input,16,
1,3,1738,Count in 4s from 0. What is the number after 20?,text_input,24,
1,3,1739,"What is the next number in this sequence? 0, 4, 8, 12, __",text_input,16,
1,3,1740,Count in 4s from 0. What is the number after 36?,text_input,40,
1,3,1741,"What is the third multiple of 4, starting from 0?",text_input,12,
1,3,1742,"Count forwards in 4s. 28, 32, __",text_input,36,
1,3,1743,What is the number after 80 when counting in 4s?,text_input,84,
1,3,1744,Count in 4s from 0. What is the next term after 16?,text_input,20,
1,3,1745,What is the fifth multiple of 4?,text_input,20,
1,3,1746,Start at 0 and count forwards in multiples of 100. What is the next number after 0?,text_input,100,
1,3,1747,Count in 100s from 0. What number comes after 100?,text_input,200,
1,3,1748,"What is the next number in the sequence: 0, 100, __?",text_input,200,
1,3,1749,Count forwards in 100s. What comes after 100?,text_input,200,
1,3,1750,Start at 0 and count in 100s. What is the second number you say?,text_input,200,
1,3,1751,Count in 4s from 0. What is the second number in the sequence?,text_input,8,
1,3,1752,"Count in 4s. 40, 44, __. What is next?",text_input,48,
1,3,1753,Count in 4s. What is the number after 52?,text_input,56,
1,3,1754,Count in 4s from 0. What is the tenth number you say?,text_input,40,
1,3,1755,"Count in 4s. 60, 64, __?",text_input,68,
1,3,1756,Count in 4s from 0. What comes just after 96?,text_input,100,
1,3,1757,Count in 100s from 0. What is the next number after 100?,text_input,200,
1,3,1758,"Count in 100s. 0, 100, __. What is the third number in the pattern?",text_input,200,
1,3,1759,What is 100 more than 0?,text_input,100,
1,3,1760,What is 4 more than 0?,text_input,4,
2,3,1761,Count forwards from 0 in multiples of 8. What is the next number after 16?,text_input,24,
2,3,1762,How many legs do 5 spiders have altogether? Each spider has 8 legs.,text_input,40,40 legs
2,3,1763,"What number is missing? 24, 32, __, 48",text_input,40,
2,3,1764,"Count in 100s from 0. What is missing? 200, 300, __, 500",text_input,400,
2,3,1765,A car has 4 wheels. How many wheels do 6 cars have?,text_input,24,24 wheels
2,3,1766,Count in 8s from 0. What number comes after 40?,text_input,48,
2,3,1767,"What is the missing number in this sequence of 4s? 80, 84, __, 92",text_input,88,
2,3,1768,Start at 0 and count in 8s. What is the fifth number you say?,text_input,40,
2,3,1769,Is 32 a multiple of 4?,text_input,Yes,yes
2,3,1770,Is 20 a multiple of 8?,text_input,No,no
2,3,1771,"Fill in the blank: 56, 64, __. This is a sequence of 8s.",text_input,72,
2,3,1772,"Count in 100s. 100, 200, 300, __.",text_input,400,
2,3,1773,How many sides are there on 7 squares altogether? A square has 4 sides.,text_input,28,28 sides
2,3,1774,Count in 4s from 0. What number comes after 100?,text_input,104,
2,3,1775,Count in 8s from 0. What number comes after 72?,text_input,80,
2,3,1776,What is the fourth multiple of 8?,text_input,32,
2,3,1777,What is the fifth multiple of 100?,text_input,500,
2,3,1778,"Count in 4s. What is missing? 40, __, 48",text_input,44,
2,3,1779,An octopus has 8 tentacles. How many tentacles do 6 octopuses have?,text_input,48,48 tentacles
2,3,1780,"Count in 8s. What is the missing number? 40, 48, __, 64",text_input,56,
2,3,1781,What is the next number when you count in 4s from 120?,text_input,124,
2,3,1782,What is the next number when you count in 8s from 80?,text_input,88,
2,3,1783,What is the next number when you count in 100s from 300?,text_input,400,
2,3,1784,Is 400 a multiple of 100?,text_input,Yes,yes
2,3,1785,Count in 4s. What is the number before 20 in the sequence?,text_input,16,
3,3,1786,Count backwards in 4s from 40. What is the next number?,text_input,36,
3,3,1787,Count forwards from 0 in multiples of 50. What is the next number after 100?,text_input,150,
3,3,1788,Count backwards in 8s from 80. What is the number before 72?,text_input,64,
3,3,1789,Count backwards in 100s from 1000. What is the next number?,text_input,900,
3,3,1790,"What number is missing? 250, 300, __, 400. The rule is count in 50s.",text_input,350,
3,3,1791,"Generate the first four numbers in the sequence of 8s, starting from 0.",text_input,"8, 16, 24, 32",8 16 24 32
3,3,1792,"Count backwards in 4s. What is missing? 28, 24, __, 16",text_input,20,
3,3,1793,What is the fifth multiple of 50?,text_input,250,
3,3,1794,Start at 800 and count back in 100s. What is the third number you say?,text_input,500,
3,3,1795,"What is the pattern in this sequence? 40, 48, 56, 64",text_input,Counting in 8s,Counting by 8
3,3,1796,Count backwards in 8s from 40. What is the next number?,text_input,32,
3,3,1797,Count forwards in 50s from 0. What is the fourth number?,text_input,200,
3,3,1798,Count backwards in 100s from 600. What is the next number?,text_input,500,
3,3,1799,Start at 96 and count back in 8s. What number comes after 88?,text_input,80,
3,3,1800,"Identify the pattern: 500, 450, 400, 350",text_input,Counting back in 50s,Counting backwards in 50s
3,3,1801,Count forwards in 4s from 92. What is the next number?,text_input,96,
3,3,1802,Count backwards in 4s from 100. What is the next number?,text_input,96,
3,3,1803,"What is the missing number? 400, __, 200, 100",text_input,300,
3,3,1804,Count forwards in 50s from 350. What is the next number?,text_input,400,
3,3,1805,What is the eighth multiple of 8?,text_input,64,
3,3,1806,Count backwards in 8s from 24. What are the next two numbers?,text_input,"16, 8",16 8
3,3,1807,What comes after 450 when counting in 50s?,text_input,500,
3,3,1808,What comes before 700 when counting back in 100s?,text_input,600,
3,3,1809,"Generate a sequence of three numbers, counting backwards in 4s from 20.",text_input,"16, 12, 8",16 12 8
3,3,1810,"What is the pattern? 88, 80, 72, 64",text_input,Counting back in 8s,Counting backwards in 8s
4,3,1811,"If you have 16 legs in total, how many spiders are there? (A spider has 8 legs)",text_input,2,2 spiders
4,3,1812,Count backwards in 50s from 500. What is the next number?,text_input,450,
4,3,1813,"Correct the error in this sequence of 4s: 80, 84, 88, 93, 96",text_input,93,
4,3,1814,How many multiples of 8 are there between 20 and 50?,text_input,4,Four
4,3,1815,"A sequence counts forwards in 50s. If one number is 250, what was the number before it?",text_input,200,
4,3,1816,"Which is larger: the 10th multiple of 4, or the 5th multiple of 8?",text_input,They are the same,Equal
4,3,1817,Count backwards in 50s from 300. What is the third number you say?,text_input,150,
4,3,1818,"Find the mistake in this sequence counting back in 8s: 80, 72, 64, 57, 48",text_input,57,
4,3,1819,How many £50 notes do you need to make £400?,text_input,8,8 notes
4,3,1820,Count backwards in 4s from 102. What is the next number?,text_input,98,
4,3,1821,How many multiples of 100 are there between 1 and 501?,text_input,5,Five
4,3,1822,A robot takes steps of 4cm. It needs to travel 24cm. How many steps does it take?,text_input,6,6 steps
4,3,1823,"Correct the error: 200, 250, 300, 340, 400",text_input,340,
4,3,1824,I am counting forwards in 100s. I say 700. What was the number I said two steps before?,text_input,500,
4,3,1825,I am counting backwards in 50s. I say 150. What is the next number I will say?,text_input,100,
4,3,1826,How many chairs with 4 legs can you make if you have 32 legs?,text_input,8,8 chairs
4,3,1827,"What is the next number in this backwards pattern? 92, 88, 84, __",text_input,80,
4,3,1828,What is the 20th multiple of 4?,text_input,80,
4,3,1829,Start at 1000 and count back in 50s. What is the next number?,text_input,950,
4,3,1830,"Which number does not belong in this sequence of 8s? 16, 24, 32, 42, 48",text_input,42,
4,3,1831,How many 4s are there between 10 and 30?,text_input,5,Five
4,3,1832,Start at 96 and count backwards in 8s. What number do you say after 80?,text_input,72,
4,3,1833,Count backwards in 100s from 2000. What is the next number?,text_input,1900,
4,3,1834,A builder lays 8 bricks in a row. How many bricks has he laid after 9 rows?,text_input,72,72 bricks
4,3,1835,"Which sequence has an error? A) 50,100,150 B) 80,72,64 C) 16,20,25",text_input,C,c
1,51,1836,"Using the column method, calculate: 34 + 21",text_input,55,
1,51,1837,"Using the column method, calculate: 52 + 16",text_input,68,
1,51,1838,"Using the column method, calculate: 61 + 37",text_input,98,
1,51,1839,"Using the column method, calculate: 25 + 44",text_input,69,
1,51,1840,"Using the column method, calculate: 73 + 15",text_input,88,
1,51,1841,"Using the column method, calculate: 45 - 23",text_input,22,
1,51,1842,"Using the column method, calculate: 88 - 34",text_input,54,
1,51,1843,"Using the column method, calculate: 97 - 51",text_input,46,
1,51,1844,"Using the column method, calculate: 59 - 18",text_input,41,
1,51,1845,"Using the column method, calculate: 76 - 62",text_input,14,
1,51,1846,What is 123 + 45?,text_input,168,
1,51,1847,What is 151 + 27?,text_input,178,
1,51,1848,What is 111 + 68?,text_input,179,
1,51,1849,What is 140 + 50?,text_input,190,
1,51,1850,What is 106 + 82?,text_input,188,
1,51,1851,Calculate: 188 - 56,text_input,132,
1,51,1852,Calculate: 199 - 72,text_input,127,
1,51,1853,Calculate: 175 - 64,text_input,111,
1,51,1854,Calculate: 163 - 21,text_input,142,
1,51,1855,Calculate: 194 - 83,text_input,111,
1,51,1856,Solve: 42 + 42,text_input,84,
1,51,1857,Solve: 99 - 11,text_input,88,
1,51,1858,Solve: 130 + 41,text_input,171,
1,51,1859,Solve: 158 - 33,text_input,125,
1,51,1860,Solve: 22 + 22,text_input,44,
2,51,1861,"Using the column method, calculate: 28 + 15",text_input,43,
2,51,1862,"Using the column method, calculate: 49 + 33",text_input,82,
2,51,1863,"Using the column method, calculate: 67 + 25",text_input,92,
2,51,1864,"Using the column method, calculate: 56 + 38",text_input,94,
2,51,1865,"Using the column method, calculate: 42 - 15",text_input,27,
2,51,1866,"Using the column method, calculate: 61 - 28",text_input,33,
2,51,1867,"Using the column method, calculate: 94 - 39",text_input,55,
2,51,1868,What is 128 + 45?,text_input,173,
2,51,1869,What is 259 + 36?,text_input,295,
2,51,1870,What is 418 + 73?,text_input,491,
2,51,1871,What is 345 + 123?,text_input,468,
2,51,1872,What is 218 + 251?,text_input,469,
2,51,1873,What is 150 + 329?,text_input,479,
2,51,1874,Calculate: 567 - 234,text_input,333,
2,51,1875,Calculate: 489 - 155,text_input,334,
2,51,1876,Calculate: 398 - 213,text_input,185,
2,51,1877,Calculate: 182 - 45,text_input,137,
2,51,1878,Solve: 75 + 19,text_input,94,
2,51,1879,Solve: 83 - 57,text_input,26,
2,51,1880,Solve: 264 + 25,text_input,289,
2,51,1881,Solve: 351 + 118,text_input,469,
2,51,1882,Solve: 499 - 250,text_input,249,
2,51,1883,Solve: 78 + 18,text_input,96,
2,51,1884,Solve: 341 - 120,text_input,221,
2,51,1885,Solve: 53 - 26,text_input,27,
3,51,1886,"Using the column method, calculate: 345 + 187",text_input,532,
3,51,1887,"Using the column method, calculate: 291 + 439",text_input,730,
3,51,1888,"Using the column method, calculate: 555 + 266",text_input,821,
3,51,1889,"Using the column method, calculate: 408 + 392",text_input,800,
3,51,1890,"Using the column method, calculate: 567 - 283",text_input,284,
3,51,1891,"Using the column method, calculate: 721 - 345",text_input,376,
3,51,1892,"Using the column method, calculate: 905 - 127",text_input,778,
3,51,1893,"Using the column method, calculate: 600 - 254",text_input,346,
3,51,1894,Calculate: 23 + 45 + 11,text_input,79,
3,51,1895,Calculate: 38 + 19 + 25,text_input,82,
3,51,1896,Calculate: 51 + 62 + 33,text_input,146,
3,51,1897,Calculate: 77 + 23 + 40,text_input,140,
3,51,1898,A cafe sells 245 sandwiches on Monday and 378 on Tuesday. How many sandwiches were sold in total?,text_input,623,
3,51,1899,A builder has 850 bricks. He uses 475 of them to build a wall. How many bricks does he have left?,text_input,375,
3,51,1900,What is the sum of 619 and 281?,text_input,900,
3,51,1901,What is the difference between 824 and 555?,text_input,269,
3,51,1902,Calculate: 999 - 123,text_input,876,
3,51,1903,A school has 418 boys and 395 girls. How many pupils are there altogether?,text_input,813,
3,51,1904,A train travels 356 miles. The total journey is 710 miles. How many more miles are left to travel?,text_input,354,
3,51,1905,Calculate: 801 - 132,text_input,669,
3,51,1906,"Find the total of 45, 55 and 65.",text_input,165,
3,51,1907,What is 378 + 422?,text_input,800,
3,51,1908,Solve: 700 - 301,text_input,399,
3,51,1909,A book has 512 pages. I have read 288 pages. How many pages are left to read?,text_input,224,
3,51,1910,"Add together 189, 211 and 300.",text_input,700,
4,51,1911,Find the missing digit: 3_5 + 124 = 469.,text_input,4,
4,51,1912,Find the missing digit: 58_ - 241 = 346.,text_input,7,
4,51,1913,"A shop has 320 apples. It receives a delivery of 150 more apples, then sells 210. How many apples are left?",text_input,260,
4,51,1914,"Ben has 500 marbles. He loses 125, but then wins 80 back. How many marbles does he have now?",text_input,455,
4,51,1915,A library starts with 675 books. 215 are borrowed and 110 are returned. What is the final number of books?,text_input,570,
4,51,1916,Is this calculation correct? 456 + 278 = 734.,text_input,Yes,Correct
4,51,1917,Is this calculation correct? 802 - 345 = 457.,text_input,Yes,Correct
4,51,1918,Spot the error in this sum: 519 + 182 = 700. What is the correct answer?,text_input,701,
4,51,1919,Spot the error in this sum: 600 - 225 = 375. What is the correct answer?,text_input,375,
4,51,1920,Which method is better for 599 + 125: mental math or column method? Calculate the answer.,text_input,724,
4,51,1921,Find the missing number: 450 + ___ = 900,text_input,450,
4,51,1922,Find the missing number: ___ - 250 = 350,text_input,600,
4,51,1923,Solve for the missing digit: 718 - 2_5 = 423,text_input,9,
4,51,1924,"Sam drives 123 miles, then another 248 miles. His total trip is 500 miles. How much further does he have to go?",text_input,129,129 miles
4,51,1925,A painter has 950 ml of paint. He uses 325 ml on a door and 450 ml on a wall. How much paint is left?,text_input,175,175 ml
4,51,1926,"I start with a number, add 200, then subtract 75. The result is 400. What was my starting number?",text_input,275,
4,51,1927,Is 450 + 450 greater than 801 + 98? Give the answer to both sums.,text_input,"No, 900 and 899",
4,51,1928,"A jug contains 750ml of water. 125ml is poured out, then 200ml is added. How much water is in the jug now?",text_input,825,825ml
4,51,1929,Solve the missing digits: _45 + 1_0 = 425.,text_input,2 and 8,
4,51,1930,Correct the mistake: 421 - 156 = 365. What should the answer be?,text_input,265,
4,51,1931,Tom has £255. He earns £150 more. He wants to buy a bike for £500. How much more money does he need?,text_input,95,£95
4,51,1932,Calculate 123 + 234 + 345.,text_input,702,
4,51,1933,A video game has 900 levels. I completed 345 levels last week and 280 this week. How many levels are left?,text_input,275,
4,51,1934,Find the difference between (115 + 225) and (500 - 105).,text_input,55,
4,51,1935,What number is 345 less than 812?,text_input,467,
1,101,1936,What is 1/3 of 6?,text_input,2,
